lat;lon;date_msg;address;inf_detail;vid
52.500783;38.600072;01.12.2018;Краи, Улица Первомайская, дом 33а;д.Краи.;3
52.713182;38.531898;01.12.2018;Ивацевичи, Улица М.Танка, дом 2в, 8;В квартире захлопнулась дверь.;0
53.148343;26.040602;02.12.2018;г. Барановичи, Улица Кирова, дом 64;Сбор и выезд по тревоге.;0
52.028011;23.813285;05.12.2018;Мухавец;Н-1;0
54.005448;27.243881;02.12.2018;Кирши;В результате пожара уничтожена кровля, выгорел мансардный этаж, выгорел коридор 2х3, закопчены стены и имущество в дачном доме 7х7 (одноэтажный, кирпичный). Хозяин: Гайко Н.М., 1943 г.р., пенсионер.;3
52.975018;25.089383;02.12.2018;Мижевичи, Улица Гагарина, дом 65;Пожар одноэтажного, деревянного жилого дома, размерами 7х15 метров, кровля шиферная по деревянной обрешетке, электрифицирован, АПИ не оборудован. В результате пожара уничтожена кровля, повреждены перекрытие, стены, имущество в доме.;3
54.451949;28.648264;01.12.2018;Хрост, Улица Набережная, дом 37;Пожар деревянного жилого дома 4х7 м, с пристройкой 2,5х4 м, крыша шиферная по деревянной обрешетке, не электрифицирован, АПИ не установлен.;3
53.132623;26.044857;02.12.2018;г. Барановичи, Улица Тельмана, дом 21;Сбор и выезд по тревоге.;0
53.740179;27.691766;02.12.2018;Михановичи, Улица Заводская, дом 1;В результате пожара выгорело парильное помещение 2х2, повреждено потолочное перекрытие на площади 4 м кв, закопчены стены в душевой2,5х3 и в комнате отдыха 2,8х4,8 деревянной бани 5х6, крыша металлочерепица по деревянной обрешетке. Хозяин: Алтухов В.;3
52.571845;26.031981;02.12.2018;Малое Городище;Транспортировка тяжелобольного в автомобиль СМП, самостоятельно передвигаться не может, вес около 13  кг;0
52.556743;31.180713;02.12.2018;Ветка, Улица Октябрьская, дом 31;Горение мусора на площади 1 м. кв.;0
53.169638;29.168921;01.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП, фасад б/р №11;0
53.146115;29.233249;01.12.2018;г. Бобруйск, Улица Минская, дом 11, кв.5;Пригорание пищи;0
53.137455;29.276236;02.12.2018;г. Бобруйск, Улица 1 Мая, дом 92 а;тление обоев на стене;0
53.988143;29.652795;09.12.2018;Воротынь, Улица Советская, дом 73;ПАСП фасад б/р №15;0
53.182617;29.206451;05.12.2018;г. Бобруйск, Шоссе Минское, дом 4;Ремонт;0
53.187316;29.211058;05.12.2018;г. Бобруйск, Улица Энергетиков, дом 7;ПАСП;0
55.297436;29.606945;03.12.2018;Шумилино, Улица Дубосарского, дом 4, 18;Оказание помощи 1 2 (открывание дверей);0
51.557628;23.601669;05.12.2018;Томашовка;ТСЗ;0
53.073087;30.049841;02.12.2018;Рогачёв, Улица Советская, дом 35;Из-под кровли жилого дома идет дыма;3
53.746218;30.704569;01.12.2018;Сталка, дом 68;Обеспечение пожарной безопастности;5
53.658266;30.359699;05.12.2018;Полна;Обеспечение пожарной безопасности;0
53.761063;27.627320;02.12.2018;Цесино, дом 102;В результате пожара уничтожена кровля, повреждено имущество, закопчены стены внутри блочного гаража 6х6, крыша металлопрофиль по деревянной обрешетке. Хозяйка: Грошева М.В., 1966 г.р.;3
53.769159;27.387751;01.12.2018;Волковичи, Улица Минская, дом 3;Пожар деревянной бани 4х8 м, крыша металлическая по деревянной обрешетке, электрифицирована. В результате пожара повреждено перекрытие на площади 2 кв.м., закопчены стены парильного помещения 3х3 м. Причина пожара устанавливается.;3
51.805856;30.176934;04.12.2018;Бурки, Улица Кооперативная, дом 72;В результате перекала печи произошло возгорание пола на площади 2 кв.м.;3
54.000614;27.276841;05.12.2018;Заславль, Улица Путейко, дом 1;Ложная сработка сигнализации  Молния;0
53.089406;29.232966;05.12.2018;г. Бобруйск, Улица Силикатная, дом 1;ПАСП, фасад;0
52.526513;31.139276;02.12.2018;Старое Село, Улица Советская 3-я, дом 61;Горение погреба(землянка), размерами 3х2, пострадавший Медин Н.;3
53.827072;27.531914;02.12.2018;Сеница, Улица Зелёная, дом 1, 19;по прибытии к месту вызова, помощь МЧС не требуется;0
53.130821;29.234754;03.12.2018;г. Бобруйск, Улица Бахарова, дом 6;Хозяйственное строение кирпичное, 1 х12 м, кровля шиферная по деревянной обрешетке, электрифицировано, используется для хранения овощей. Хозяин Кулиев Мехману Джангироглы, 1959 г.р., неработающий, проживающий в г. Бобруйске по ул.;3
51.933333;30.801111;03.12.2018;Лоев, Улица Первомайская, дом 45;Отработка норматива б/р 16.;0
51.933333;30.801111;03.12.2018;Лоев, Улица Первомайская, дом 45;Сбор и выезд по тревоге.;0
52.636504;27.522783;01.12.2018;Желтый Брод;МТФ кирпичная, размерами 1 х1   м, кровля шиферная по деревянной обрешетке, не электрифицирован, сигнализацией не оборудована, 198  года постройки. Территория ограждена, имеется круглосуточная сторожевая охрана.;3
52.753382;25.071051;05.12.2018;Ивацевичи, Улица Депутатская, дом 43, 2/57.,3;По прибытию к месту вызова трех отделений на АЦ и АЛ ПАСЧ -1 г. Ивацевичи установлено что открытое горение отсутствует, в квартире плотное задымление, возможно нахождение людей.;3
52.745621;23.596787;05.12.2018;Знаменка;ТСЗ ПС-35;0
53.152262;29.157734;01.12.2018;г. Бобруйск, Улица Широкая, дом 19;Тушение мусора;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Бабушкина, дом 121Б;Доп Занятия ПАСП;0
54.158084;27.875802;02.12.2018;Августово, Улица Поселковая, дом 2;загорание сажи в дымоходе;0
53.997274;27.666286;02.12.2018;Боровляны, Улица Славянская, дом 17;"В результате пожара поврежден потолок по всей площади, закопчены стены в парильном помещении3х4 деревянной бани 4х8, кровля шиферная по деревянной обрешетке. Хозяйка: Сисамова Н.Г., 1978 г.р., экономист ООО ""СтратНаноТек инвест"".";3
54.105212;28.310097;03.12.2018;г. Жодино, Улица Тимирязева, дом 7;пожар  деревянной хозяйственной постройки 4х3 м, крыша шиферная по деревянной обрешетке, не электрифицирована,  пострадавших нет, эвакуация не проводилась, 3 СПРУ 5 / ,7,;3
55.429655;29.067949;03.12.2018;Матусово;Доп Занятия ПАСП;0
53.700105;28.418852;05.12.2018;Червень, Улица Победы, дом 5;Дополнительные занятия.;0
54.366886;29.032590;03.12.2018;Староселье;НБР №5, Норматив №1;0
54.516907;28.960527;03.12.2018;Холопеничи, Улица Ленинская, дом 14;НБР №5, НБР №9, Норматив №11;0
55.311686;28.601509;03.12.2018;Близница, Улица Центральная, дом 5б;Доп занятия ПАСП;0
54.328529;29.133908;03.12.2018;Крупки, Улица Полевая, дом 13;НБР №5, НБР №9, Норматив №11;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Строительная, дом 30А;Занятия ПАСП;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Энгельса, дом 8;Доп занятия ПАСП;0
52.218426;23.676224;05.12.2018;Козловичи, дом 41;По прибытии к месту вызова в 16-56 отделения на АЦ ПАСП-11 Брестского РОЧС (5 км) установлено, что из под кровли бани идёт дым.Баня  кирпичная, размерами 6х4 м, кровля металлическая по деревянной обрешетке,   электрифицирована.;3
54.958296;28.937008;02.12.2018;Матырино, Улица Центральная, дом 58;пожар  дома по ул.Центральная 58 в д.;3
55.342815;29.309678;03.12.2018;Оболь, Улица Вышелесского, дом 4а;В результате пожара дома в котельной 2,5х2,5 м повреждено потолочное перекрытие 3м. кв.;3
53.188618;29.188489;05.12.2018;г. Бобруйск, Шоссе Минское, дом 8/1;ТСЗ;0
52.702342;25.149614;04.12.2018;Заполье, Улица Космонавтов, дом 30;Оказание помощи организации- открывание дверей;0
55.443739;29.587474;06.12.2018;Мишневичи, Улица Рассказова, дом 31а;ТО-1;0
53.160171;29.197589;01.12.2018;г. Бобруйск, Улица Орджоникидзе, дом 42а, подъезд 2;ОПБ;5
52.492611;29.267651;05.12.2018;Большие Литвиновичи;Горение мусора на площади 6 м.кв.;0
54.076069;27.771147;02.12.2018;Губичи;по прибытии к месту вызова, помощь МЧС не требуется;0
54.251251;28.520132;04.12.2018;Борисов, Улица Адамовича, дом 41;В результате взрыва повреждены стены и кровля дома. Поврежден рядом стоящий легковой автомобиль Фольксваген Пассат г.н., 9365-5, год выпуска устанавливается.В результате взрыва пострадал хозяин дома: Далюк Александр Васильевич 1979 г.р.;3
53.150887;29.224279;01.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП, фасад б/р №13;0
52.202863;24.017939;05.12.2018;Жабинка, Улица Короткина, дом 14;Вводная Загорание штабеля пиломатериалов;0
53.179696;29.184754;05.12.2018;г. Бобруйск, Улица Ульяновская, дом 106;помощь 1 2;0
52.186852;23.988423;05.12.2018;Жабинка, Улица Брестская;В акватории водоема обнаружена мина.;0
52.203042;24.017797;06.12.2018;Жабинка, Улица Короткина, дом 14;Возгорание пиломатериалов в штабелях (условно);0
53.298993;26.284012;02.12.2018;Задвея, Улица Молодёжная, дом 2, А;Отработка вводной.;0
53.191053;29.189215;06.12.2018;г. Бобруйск, Шоссе Минское, дом 4;ТСЗ- ведение АС и ДНР при ликвидации ЧС в административных зданиях.;0
30.723889;51.916944;05.12.2018;Крупейки, Улица Банникова, дом 17а, 1;Вводная- поступило сообщение о коротком замыкании в помещении кухни детского приюта, есть пострадавший. По прибытии вызов №2 подтвержден (8 АЦ), работало 2 Звена ГДЗС на тушение подано 2 ствола СПРУ.;0
52.203029;24.017804;04.12.2018;Жабинка, Улица Короткина, дом 12;"СООО ""Зодчийдрев""Вводная: горение досок в штабелях, угроза людям, зданиям. Площадь горения 1  м.кв.";0
52.556743;31.180713;02.12.2018;Ветка, Улица Луначарского А.В.;Доп.;0
52.535301;24.983089;06.12.2018;Берёза, Улица Октябрьская, дом 29;Условный пожар в библеотеке;0
54.849292;29.156520;05.12.2018;Чашники, Улица Советская, дом 74;ТО-1;0
52.465519;25.177912;06.12.2018;Белоозёрск, Улица Строителей, дом 15;Условный пожар в музыкальной школе;0
52.208287;24.043998;06.12.2018;Жабинка, Улица Лунная, дом 20;Произошло к/з двигателя бытового компрессора.;0
55.498114;28.787434;03.12.2018;Полоцк, Улица Гоголя, дом 14, 59;Подгорание пищи на плите;0
52.709018;25.318160;03.12.2018;Ивацевичи, Улица М.Танка, дом 15;Платные услуги, подвоз воды, договор № 584 от 29.11.2 18г.;0
53.100379;26.188278;04.12.2018;Дарево-Чиж, Улица Солнечная, дом 1;Отработана вводная по извлечению пострадавшего из технического колодца.;0
53.839211;30.020686;01.12.2018;Вендорож, Улица Интернациональная, дом 21;Строение одноэтажное, блочное, размерами 3х5 м, электрифицировано, кровля шиферная по деревянной обрешетке. Хозяйка Поддубская Маргарита Александровна, 1962 г.р., пенсионерка, проживает одна.;3
52.556743;31.180713;02.12.2018;Ветка, Улица Луначарского А.В.;Доп.;0
53.532314;30.245253;04.12.2018;Быхов, Переулок Некрасова, дом 1, 3;Неисправность электросчетчика;5
53.151444;29.179611;04.12.2018;г. Бобруйск, Улица Орджоникидзе, дом 100;Ремонт;0
52.721863;25.327750;05.12.2018;Ивацевичи, Улица Спортивная, дом 3;ТСЗ;0
51.745621;23.596787;05.12.2018;Домачево;Н-1;0
55.775666;27.937356;02.12.2018;Верхнедвинск, Улица Черского, дом 9, кв.24;Открывание дверей в квартире.;0
53.115938;29.567026;04.12.2018;Большие Бортники, Улица Садовая, дом 6;ОТиО;0
55.443739;29.587474;06.12.2018;Мишневичи, Улица Рассказова, дом 31а;Занятия по ПАСП;0
55.297436;29.606945;06.12.2018;Шумилино, Улица Луначарского, дом 44;Занятия по ПАСП;0
53.189625;29.228567;04.12.2018;г. Бобруйск, Улица Генерала Батова, дом 22;ОТиО;0
52.260685;23.986888;04.12.2018;Степанки, Улица Центральная, дом 35;ТO-1;0
55.443739;29.587474;03.12.2018;Мишневичи, Улица Рассказова, дом 31а;Занятия по ПАСП;0
53.189771;29.228826;05.12.2018;г. Бобруйск, Улица Генерала Батова, дом 22;ОТИО;0
53.114892;29.564544;05.12.2018;Большие Бортники, Улица Садовая, дом 6;ОТИО;0
53.087324;28.855971;05.12.2018;Глуша, Улица Октябрьская, дом 46а;ОТИО;0
53.807545;30.961372;05.12.2018;Чаусы, Улица Азарова, дом 6;отработка ОК;0
52.752726;25.021137;06.12.2018;Альба, Переулок Лесной, дом 1;ТСЗ;0
53.517233;30.242997;05.12.2018;Быхов, Улица Ленина, дом 34;Оперативно-тактическое изучение объекта;0
52.194011;24.016353;05.12.2018;Жабинка, Улица Котовского, дом 4;Вводная  Загорание подстанции 11 кВ, наличие пострадавшего;0
52.194011;24.016353;05.12.2018;Жабинка, Улица Котовского, дом 4;Сбор и выезд по тревоге.;0
53.805319;30.960110;02.12.2018;Чаусы, Улица Азарова, дом 7, кв.30, 3-ий подъезд;Захлопнулась дверь в квартире;0
53.081306;29.121711;02.12.2018;г. Бобруйск, Улица Интернациональная, дом 47а;ОПБ при проведении матчад-р № 267 от 3 .11.;0
53.188618;29.188489;02.12.2018;г. Бобруйск, Шоссе Минское, дом 8/1;ПАСП фасад;0
53.164997;29.211026;03.12.2018;г. Бобруйск, Улица Минская, дом 102;ПАСП фасад б/р №1;0
52.700248;25.331497;06.12.2018;Ивацевичи, Улица 40 лет Октября, дом 3;Сработка сигнализации  Молния;0
53.826339;29.059067;03.12.2018;Лешница, Улица Школьная, дом 73;сарай открытым пламенем;3
53.541372;30.913097;06.12.2018;Лесная;Договор № 12 от  6.12.2 18. Подвоз воды для хоз.нужд.;0
55.443739;29.587474;06.12.2018;Мишневичи, Улица Рассказова, дом 31а;Сбор и выезд по тревоге;0
52.831991;25.473325;04.12.2018;Доманово, Улица Совхозная, дом 15а;ТСЗ;0
52.991048;30.731622;04.12.2018;Дубовица, Улица Гомельская, дом 20;Загорание мусора около хоз постройки на площади 2 м. кв.;0
53.383468;27.323958;03.12.2018;Слобода, Улица Молодёжная, дом 14;Тление древесных опилок в помещении чердака жилого, блочно-кирпичного дома размерами 13х13 м.кв. с андулиновой крышей по деревянной обрешетке, на площади  ,5 м.кв. около дымоходной трубы.;3
53.121864;29.164411;03.12.2018;г. Бобруйск;Сработка сигнализации  Молния;0
53.493185;25.712459;01.12.2018;Лезневичи, дом 1;Пожар одноэтажного, деревянного жилого дома, размерами 6х12 метров, кровля шиферная по деревянной обрешетке, электрифицирован, АПИ оборудован в 2  9 году за собственные средства (факт сработки  не подтверждается).;3
51.783333;30.266667;03.12.2018;Брагин, Улица Кравченко, дом 7а;Отработка норматива №28;0
51.433333;30.566667;03.12.2018;Комарин, Улица Ленина В.И., дом 89;Отработка норматива №28;0
53.148343;26.040602;02.12.2018;г. Барановичи, Улица Кирова, дом 64;Отработка норматива б/р № 3.;0
52.194011;24.016353;03.12.2018;Жабинка, Улица Котовского, дом 4;Б/р №9;0
54.157387;27.835237;05.12.2018;Силичи;проведение ТСУ;0
52.097915;24.140973;06.12.2018;Озяты, Улица Центральная, дом 97;Обрезка электрических проводов.;0
52.219351;27.489481;04.12.2018;Микашевичи, Улица Садовая, дом 2;ТСЗ, отработка вводных.;0
53.975439;27.851872;02.12.2018;Юхновка;гнездо ликвидировано;0
53.040724;26.245785;01.12.2018;Ляховичи, Улица Орловского, дом 12;"Отработка нормативов Б/р №1; Б/р №5 на территории ПАСЧ";0
54.122558;31.096788;05.12.2018;Дрибин, Улица Ленина, дом 37;Дежурство по обеспечению пожарной безопасности при проведении культурно-массовых мероприятий  Цирковое представление;5
52.753405;25.150006;04.12.2018;Коссово, Улица 3 Февраля, дом 12а;Отработка вводной- ликвидация розлива ЛВЖ;0
53.132847;29.230710;01.12.2018;г. Бобруйск, Переулок Пожарный, дом 3;ПАСП фасад б/р №14;0
53.442131;31.001754;03.12.2018;Славгород, Улица Калинина, дом 57;Занятия по ПАСП Б.Р.;0
53.176459;29.207148;04.12.2018;г. Бобруйск, Улица Минская, дом 142а;ТСЗ, ведение АСР и ДНР в производственных зданиях;0
54.371368;29.168079;06.12.2018;Худовцы, Улица Центральная, дом 1;огневая полоса психологической подготовки;0
53.169638;29.168921;04.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП;0
53.150887;29.224279;02.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП фасад;0
53.188618;29.188489;03.12.2018;г. Бобруйск, Шоссе Минское, дом 8/1;ПАСП фасад б/р №19;0
53.191367;29.189027;04.12.2018;г. Бобруйск, Шоссе Минское;ТСЗ- ведение АС и ДНР при ликвидации ЧС в административных зданиях.;0
53.132847;29.230710;02.12.2018;г. Бобруйск, Переулок Пожарный, дом 3;ПАСП фасад;0
53.150887;29.224279;01.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП фасад б/р №3;0
53.089406;29.232966;04.12.2018;г. Бобруйск, Улица Силикатная, дом 1;ТСЗ, ведение АСР и ДНР в условиях низких температур;0
53.188618;29.188489;01.12.2018;г. Бобруйск, Шоссе Минское, дом 8/1;ПАСП, фасад б/р №19;0
53.188618;29.188489;02.12.2018;г. Бобруйск, Шоссе Минское, дом 8/1;ПАСП  фасад;0
53.150887;29.224279;03.12.2018;г. Бобруйск, Улица Октябрьская, дом 159;ПАСП фасад б/р №6;0
53.089406;29.232966;05.12.2018;г. Бобруйск, Улица Силикатная, дом 1;ТСЗ;0
53.169638;29.168921;05.12.2018;г. Бобруйск, Улица Гагарина, дом 46;ПАСП;0
52.194011;24.016353;03.12.2018;Жабинка, Улица Котовского, дом 4;Б/р №16;0
52.502651;25.913157;03.12.2018;Гортоль, Улица Колхозная, дом 1;Отработка вводной, тушение пожара в здании ПАСП;0
55.703786;28.183199;03.12.2018;Волынцы, Улица Кирпичная, дом 3;Дом кирпичный 6х7, кровля шиферная по деревянной обрешетке, АПИ не установлен. На момент возгорания в доме находился ранее умершего труп хозяина.;3
52.753412;25.150295;05.12.2018;Коссово, Улица 3 Февраля, дом 12А;Ликвидация последствий розлива ЛВЖ;0
52.820148;25.709857;05.12.2018;Добромысль, Улица Брестская, дом 9;Тушение пожаров в электо установках;0
52.502847;25.911056;05.12.2018;Гортоль, Улица Колхозная, дом 1;Тушение пожаров в здании ПАСП;0
54.366886;29.032590;03.12.2018;Староселье;НБР №13;0
54.366886;29.032590;06.12.2018;Староселье;ТСП;0
52.820089;25.713393;04.12.2018;Добромысль, Улица Брестская, дом 9;Отработка вводной- тушение пожаров в электроустановках;0
54.516907;28.960527;03.12.2018;Холопеничи, Улица Ленинская, дом 14;НБР №15;0
53.148343;26.040602;02.12.2018;г. Барановичи, Улица Кирова, дом 64;Отработка норматива б/р № 6.;0
54.328529;29.133908;03.12.2018;Крупки, Улица Полевая, дом 13;НБР №15;0
54.516907;28.960527;06.12.2018;Холопеничи, Улица Ленинская, дом 14;ТСП;0
51.916944;30.723889;06.12.2018;Крупейки, Улица Банникова, дом 17а;Вводная - поступило сообщение о коротком замыкании в помещении кухни детского приюта, есть пострадавший. По прибытии вызов №2 условно подтвержден (8 АЦ), АЦ установлена на ПГ (1  метров) проложена магистральная линия к АЦ 1-го хода.;0
53.132623;26.044857;02.12.2018;г. Барановичи, Улица Тельмана, дом 21;Отработка норматива б/р № 2,4.;0
52.426545;25.356208;03.12.2018;Спорово;Занятия с ГСВ;0
54.382493;29.327929;03.12.2018;Дворище;НБР №5;0
53.177394;25.982335;02.12.2018;г. Барановичи, Улица Наконечникова, дом 50;Отработка норматива б/р №14,15,16.;0
52.661844;26.417605;03.12.2018;Ганцевичи, Улица Проскурова, дом 30;Занятия по ПАСП;0
53.182468;29.198998;04.12.2018;г. Бобруйск, Шоссе Минское;Контроль за проведением огневых работ;5
54.440992;28.880299;03.12.2018;Хотюхово, Улица Лесная, дом 2а;НБР №5;0
54.382493;29.327929;06.12.2018;Дворище;НБР №6;0
55.297436;29.606945;03.12.2018;Шумилино, Улица Луначарского, дом 44;Занятия по ПАСП;0
54.440992;28.880299;06.12.2018;Хотюхово, Улица Лесная, дом 2а;НБР №6;0
55.342815;29.309678;03.12.2018;Оболь, Улица Железнодорожная, дом 6;Занятия по ПАСП;0
54.491917;29.158613;03.12.2018;Прошика, Улица Центральная, дом 12;НБР №5;0
54.491917;29.158613;06.12.2018;Прошика, Улица Центральная, дом 12;НБР №6;0
55.342815;29.309678;06.12.2018;Оболь, Улица Железнодорожная, дом 6;Занятия по ПАСП;0
54.371368;29.168079;03.12.2018;Худовцы, Улица Центральная, дом 1;НБР №5;0
52.502534;25.913250;04.12.2018;Гортоль, Улица Колхозная, дом 1;Отработка вводной- тушение здания ПАСП;0
53.948934;27.419905;05.12.2018;Ждановичи;показательные выступления;0
54.110903;29.224471;03.12.2018;Миколаевка;НБР №5;0
54.371368;29.168079;06.12.2018;Худовцы, Улица Центральная, дом 1;НБР №6;0
54.110903;29.224471;06.12.2018;Миколаевка;НБР №6;0
30.801111;51.933333;01.12.2018;Лоев, Улица Первомайская, дом 45;отработка норматива б/р №7;0
30.723889;51.916944;04.12.2018;Крупейки, Улица Банникова, дом 17а, 1;Вводная - поступило сообщение о коротком замыкании в кабинете прачечной детского приюта есть пострадавший. По прибытии вызов №2 подтвержден (8 АЦ), работало 2 Звена ГДЗС на тушение подано 2 ствола СПРУ.;0
52.526149;25.842477;06.12.2018;Телеханы, Улица Якуба Коласа, дом 1;Занятия ГСВ;0
